nonogram2.jpg|[[[2], [3], [3], [3, 1], [1]],[[2], [3], [4], [2], [2]]]
nonogram3.jpg|[[[2], [3], [3], [3, 1], [1]],[[2], [3], [4], [2], [2]]]
nonogram4.jpg|[[[2], [3], [3], [3, 1], [1]],[[2], [3], [4], [2], [2]]]
nonogram5.jpg|[[[2], [3], [3], [3, 1], [1]],[[2], [3], [4], [2], [2]]]
nonogram6.jpg|[[[1, 1], [1, 1], [2], [3], [4]],[[4], [3], [1, 2], [1], [2]]]
nonogram7.jpg|[[[1], [1, 1], [2], [4], [3, 1]],[[3], [4], [2], [2, 1], [1]]]
nonogram8.jpg|[[[3], [3], [2], [1, 2], [2]],[[4], [3], [2], [2], [2]]]
nonogram9.jpg|[[[2], [2, 1], [1, 1], [3], [3]],[[3], [2], [2], [2], [4]]]
nonogram12.jpg|[[[2, 1], [4], [1, 2], [1, 1], [1]],[[4], [2], [1], [3], [3]]]
nonogram13.jpg|[[[4], [1, 1], [3], [2], [2]],[[2], [4], [1, 1, 1], [2,1], [1]]]
nonogram14.jpg|[[[3], [2], [4], [1], [3]],[[2], [3], [1, 1, 1], [1, 1], [3]]]
nonogram15.jpg|[[[4], [2], [4], [1], [2]],[[1, 3], [1, 1, 1], [1, 1], [3], [1]]]
nonogram16.jpg|[[[3], [2], [1], [3], [4]],[[1], [1], [1, 2], [2, 2], [4]]]
nonogram17.jpg|[[[4], [2], [3], [1], [3]],[[3], [3], [1, 3], [1, 1], [1]]]
nonogram18.jpg|[[[2], [4], [3], [2], [2]],[[1], [2], [2], [4], [4]]]
nonogram19.jpg|[[[4], [3], [3], [1], [2]],[[3], [3], [4], [1, 1], [1]]]
nonogram20.jpg|[[[1], [3], [3], [3], [3]],[[2], [2], [4], [2], [3]]]
